date,temp,hum,bright
2/13/2024 2:44:26 PM,20.5,56,5
2/13/2024 2:45:26 PM,20.5,56,5
2/13/2024 2:46:26 PM,20.5,56,5
2/13/2024 2:47:26 PM,20.6,56,5
2/13/2024 2:48:26 PM,20.5,56,5
2/13/2024 2:49:26 PM,20.6,56,5
2/13/2024 2:50:26 PM,20.6,56,5
2/13/2024 2:51:26 PM,20.6,56,5
2/13/2024 2:52:26 PM,20.6,56,5
2/13/2024 2:53:26 PM,20.6,56,5
2/13/2024 2:54:26 PM,20.6,56,5
2/13/2024 2:55:26 PM,20.6,56,5
2/13/2024 2:56:26 PM,20.6,56,5
2/13/2024 2:57:26 PM,20.6,56,5
2/13/2024 2:58:26 PM,20.6,56,5
2/13/2024 2:59:26 PM,20.7,56,5
2/13/2024 3:00:26 PM,20.7,56,5
2/13/2024 3:01:26 PM,20.7,56,5
2/13/2024 3:02:26 PM,20.7,56,5
2/13/2024 3:03:26 PM,20.7,56,5
2/13/2024 3:04:27 PM,20.7,56,5
2/13/2024 3:05:26 PM,20.7,56,5
2/13/2024 3:06:26 PM,20.7,56,5
2/13/2024 3:07:26 PM,20.7,56,5
2/13/2024 3:08:26 PM,20.7,56,5
2/13/2024 3:09:26 PM,20.7,56,5
2/13/2024 3:10:26 PM,20.7,57,5
2/13/2024 3:11:26 PM,20.7,56,5
2/13/2024 3:12:27 PM,20.7,56,5
2/13/2024 3:13:26 PM,20.7,56,5
2/13/2024 3:14:26 PM,20.8,56,5
2/13/2024 3:15:26 PM,20.8,56,5
2/13/2024 3:16:26 PM,20.8,56,5
2/13/2024 3:17:26 PM,20.8,56,5
2/13/2024 3:18:26 PM,20.8,56,5
2/13/2024 3:19:26 PM,20.8,56,5
2/13/2024 3:20:26 PM,20.8,56,5
2/13/2024 3:21:26 PM,20.8,56,5
2/13/2024 3:22:27 PM,20.8,56,5
2/13/2024 3:23:26 PM,20.8,56,5
2/13/2024 3:24:26 PM,20.8,56,5
2/13/2024 3:25:26 PM,20.8,56,5
2/13/2024 3:26:26 PM,20.8,56,5
2/13/2024 3:27:26 PM,20.8,56,5
2/13/2024 3:28:26 PM,20.8,56,5
2/13/2024 3:29:26 PM,20.8,56,5
2/13/2024 3:30:26 PM,20.9,56,5
2/13/2024 3:31:26 PM,20.8,56,5
2/13/2024 3:32:26 PM,20.8,56,5
2/13/2024 3:33:26 PM,20.9,56,5
2/13/2024 3:34:26 PM,20.9,56,5
2/13/2024 3:35:27 PM,20.8,56,5
2/13/2024 3:36:27 PM,20.9,56,5
2/13/2024 3:37:26 PM,20.9,56,5
2/13/2024 3:38:26 PM,20.9,56,5
2/13/2024 3:39:26 PM,20.9,56,5
2/13/2024 3:40:26 PM,20.9,56,5
2/13/2024 3:41:26 PM,20.9,56,5
2/13/2024 3:42:26 PM,20.9,56,5
2/13/2024 3:43:26 PM,20.9,56,5
2/13/2024 3:44:27 PM,20.9,56,5
2/13/2024 3:45:27 PM,20.9,56,5
2/13/2024 3:46:27 PM,20.9,56,5
2/13/2024 3:47:26 PM,20.9,56,5
2/13/2024 3:48:26 PM,20.9,56,5
2/13/2024 3:49:26 PM,20.9,56,5
2/13/2024 3:50:26 PM,20.9,56,5
2/13/2024 3:51:27 PM,20.9,56,5
2/13/2024 3:52:27 PM,20.9,56,5
2/13/2024 3:53:27 PM,20.9,56,5
2/13/2024 3:54:27 PM,20.9,56,5
2/13/2024 3:55:26 PM,20.9,56,5
2/13/2024 3:56:27 PM,20.9,56,5
2/13/2024 3:57:26 PM,20.9,56,5
2/13/2024 3:58:26 PM,20.9,56,5
2/13/2024 3:59:27 PM,20.9,56,5
2/13/2024 4:00:27 PM,20.9,56,4
2/13/2024 4:01:26 PM,20.9,56,4
2/13/2024 4:02:26 PM,20.9,56,4
2/13/2024 4:03:26 PM,20.9,56,4
2/13/2024 4:04:26 PM,20.8,56,4
2/13/2024 4:05:27 PM,20.8,56,4
2/13/2024 4:06:26 PM,20.8,56,4
2/13/2024 4:07:26 PM,20.8,56,4
2/13/2024 4:08:27 PM,20.8,56,4
